Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
08/02/2026,AplPay BROOKLYN FARENEW YORK            NY,74.30,"999999962142122169700
GROCERY STORES
AplPay BROOKLYN FARE #1922 000001922
NEW YORK
NY
GROCERY STORES
2122169700",AplPay BROOKLYN FARENEW YORK            NY,431 WEST 37TH ST,"NEW YORK
NY",10018-4292,UNITED STATES,'320262140246622848',Merchandise & Supplies-Groceries
08/02/2026,AplPay TARGET STORE NEW YORK            NY,48.04,"0           8004400680
AplPay TARGET STORE T3268 000003268
NEW YORK
NY
Description : REFER TO RECEIPT Price : 0.00
8004400680",AplPay TARGET STORE NEW YORK            NY,615 10TH AVE,"NEW YORK
NY",10036,UNITED STATES,'320262150274323731',Merchandise & Supplies-Wholesale Stores
08/02/2026,SP 32DEGREES        BAY SHORE           NY,40.97,"CH_3U0662CS +18553232302
SP 32DEGREES
BAY SHORE
NY
+18553232302",SP 32DEGREES        BAY SHORE           NY,90 SPENCE ST,"BAY SHORE
NY",11706,UNITED STATES,'320262140248742701',Merchandise & Supplies-Clothing Stores
08/01/2026,AplPay 37ST FOOD MARNEW YORK            NY,12.45,"85183536214212-967-5200
AplPay 37ST FOOD MARKET
NEW YORK
NY
212-967-5200",AplPay 37ST FOOD MARNEW YORK            NY,480 10TH AVE,"NEW YORK
NY",10018-1108,UNITED STATES,'320262140248199460',Merchandise & Supplies-Groceries
08/01/2026,AplPay COUNTRY HOT BNORTHPORT           NY,4.65,"73011566214 NONE@NONE.COM
AplPay COUNTRY HOT BAGELS 056310000005836
NORTHPORT
NY
NONE@NONE.COM",AplPay COUNTRY HOT BNORTHPORT           NY,361 FT SALONGA RD,"NORTHPORT
NY",11768,UNITED STATES,'320262130191410247',Merchandise & Supplies-Groceries
08/01/2026,AplPay CVS/PHARMACY NEW YORK            NY,5.79,"10129184    8007467287
AplPay CVS/PHARMACY #11059 000011059
NEW YORK
NY
Description : PHARMACIES Price : 0.0579
8007467287",AplPay CVS/PHARMACY NEW YORK            NY,1619 BROADWAY,"NEW YORK
NY",10019,UNITED STATES,'320262140235574563',Merchandise & Supplies-Pharmacies
08/01/2026,AplPay FOODWORX     HUNTINGTON          NY,12.43,"78400110    631-427-1033
AplPay FOODWORX
HUNTINGTON
NY
Description : GROCERIES/SUNDRIES Price : 0.00
631-427-1033",AplPay FOODWORX     HUNTINGTON          NY,201 EAST MAIN STREET,"HUNTINGTON
NY",11743,UNITED STATES OF AMERICA (THE),'320262130209928868',Merchandise & Supplies-Groceries
08/01/2026,AplPay LIRR ETIX TIC718-217-5477        NY,13.50,"MRCFHAFP4WM LIRR ETIX TICKET
AplPay LIRR ETIX TICKET
718-217-5477
NY
LIRR ETIX TICKET",AplPay LIRR ETIX TIC718-217-5477        NY,"146-01 ARCHER AVE
ATTN REVENUE DEPT","JAMAICA
NY",11435,UNITED STATES,'320262140231201532',Transportation-Rail Services
08/01/2026,AplPay TST* LOS TACONEW YORK            NY,16.71,"21105176214 RESTAURANT
AplPay TST* LOS TACOS NO. 1 HUDS 00209830
NEW YORK
NY
RESTAURANT",AplPay TST* LOS TACONEW YORK            NY,508 WEST 34TH ST,"NEW YORK
NY",10001,UNITED STATES,'320262140239432793',Restaurant-Restaurant
08/01/2026,UBER,13.96,"FAC26MDZ    8005928996
AplPay Uber Trip
help.uber.com
CA
8005928996",AplPay Uber Trip    help.uber.com       CA,"1515 3rd Street
4TH FLOOR","SAN FRANCISCO
CA",94158,UNITED STATES,'320262130200895446',Transportation-Taxis & Coach
08/01/2026,BEACH PUB           CENTERPORT          NY,35.12,"85428146214631-470-8293
BEACH PUB
CENTERPORT
NY
631-470-8293",BEACH PUB           CENTERPORT          NY,102 WASHINGTON DR,"CENTERPORT
NY",11721-1829,UNITED STATES,'320262140246823815',Restaurant-Restaurant
07/30/2026,AplPay FOODWORX     HUNTINGTON          NY,14.13,"16400060    631-427-1033
AplPay FOODWORX
HUNTINGTON
NY
Description : GROCERIES/SUNDRIES Price : 0.00
631-427-1033",AplPay FOODWORX     HUNTINGTON          NY,201 EAST MAIN STREET,"HUNTINGTON
NY",11743,UNITED STATES OF AMERICA (THE),'320262110146548086',Merchandise & Supplies-Groceries
07/30/2026,BEACH PUB           CENTERPORT          NY,9.82,"85428146211631-470-8293
BEACH PUB
CENTERPORT
NY
631-470-8293",BEACH PUB           CENTERPORT          NY,102 WASHINGTON DR,"CENTERPORT
NY",11721-1829,UNITED STATES,'320262110131504660',Restaurant-Restaurant
07/30/2026,FSP*SIX HARBORS BREWHUNTINGTON          NY,34.20,"99999996211 5166803528
FSP*SIX HARBORS BREWING C 000041940
HUNTINGTON
NY
5166803528",FSP*SIX HARBORS BREWHUNTINGTON          NY,243 NEW YORK AVE,"HUNTINGTON
NY",11743-2747,UNITED STATES,'320262120181023547',Restaurant-Bar & Café
07/30/2026,NORTHPORT GOLF COURSNORTHPORT           NY,111.00,"73011006211 JOHNHEBERT24816@GMAIL
JOHNHEBERT24816@GMAIL.COM
NORTHPORT GOLF COURSE 068880023196748
NORTHPORT
NY
JOHNHEBERT24816@GMAIL.COM",NORTHPORT GOLF COURSNORTHPORT           NY,79 MIDDLEVILLE RD,"NORTHPORT
NY",11768,UNITED STATES,'320262120181970923',Entertainment-Associations
07/29/2026,AplPay AMC 9640 ONLILEAWOOD             KS,10.68,"G30MJAGZ    888-440-4262
AplPay AMC 9640 ONLINE
LEAWOOD
KS
Description : 9640 AMC ONLINE Price : 0.00
888-440-4262",AplPay AMC 9640 ONLILEAWOOD             KS,"920 MAIN ST
FL 14","KANSAS CITY
MO",64105-2008,UNITED STATES,'320262100109024293',Entertainment-Theatrical Events
07/28/2026,AplPay AMC 2162 SHORHUNTINGTON          NY,10.88,"51527355    913-213-2160
AplPay AMC 2162 SHORE 8 2162
HUNTINGTON
NY
Description : ADMISSION/TICKETS Price : 0.00
913-213-2160",AplPay AMC 2162 SHORHUNTINGTON          NY,37 WALL ST,"HUNTINGTON
NY",11743,UNITED STATES,'320262110151615175',Entertainment-Theatrical Events
07/28/2026,AplPay AMC 2162 SHORHUNTINGTON          NY,10.88,"51530070    913-213-2160
AplPay AMC 2162 SHORE 8 2162
HUNTINGTON
NY
Description : ADMISSION/TICKETS Price : 0.00
913-213-2160",AplPay AMC 2162 SHORHUNTINGTON          NY,37 WALL ST,"HUNTINGTON
NY",11743,UNITED STATES,'320262110153240648',Entertainment-Theatrical Events
07/27/2026,AplPay LIRR ETIX TIC718-217-5477        NY,13.50,"MRTC2DGFLV4 LIRR ETIX TICKET
AplPay LIRR ETIX TICKET
718-217-5477
NY
LIRR ETIX TICKET",AplPay LIRR ETIX TIC718-217-5477        NY,"146-01 ARCHER AVE
ATTN REVENUE DEPT","JAMAICA
NY",11435,UNITED STATES,'320262090083105538',Transportation-Rail Services
07/27/2026,AplPay NYCT PAYGO   NEW YORK            NY,3.00,"00937337741 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320262090086569616',Transportation-Rail Services
07/27/2026,UBER,22.95,"5RHEZA71    8005928996
AplPay Uber Trip
help.uber.com
CA
8005928996",AplPay Uber Trip    help.uber.com       CA,"1515 3rd Street
4TH FLOOR","SAN FRANCISCO
CA",94158,UNITED STATES,'320262080049997137',Transportation-Taxis & Coach
07/26/2026,AplPay LONE CYPRESS PEBBLE BEACH        CA,9.79,"0008036922       93953
RETAIL
AplPay LONE CYPRESS SHOP
PEBBLE BEACH
CA
RETAIL
0008036922       93953",AplPay LONE CYPRESS PEBBLE BEACH        CA,17 MILE DR,"PEBBLE BEACH
CA",93953,UNITED STATES,'320262080043908593',Merchandise & Supplies-General Retail
07/26/2026,AplPay US OPEN/AMATEPEBBLE BEACH        CA,364.31,"0008036306       93953
RETAIL
AplPay US OPEN/AMATEUR SHOPS
PEBBLE BEACH
CA
RETAIL
0008036306       93953",AplPay US OPEN/AMATEPEBBLE BEACH        CA,1700 17-MILE DR,"PEBBLE BEACH
CA",93953,UNITED STATES,'320262080044425476',Merchandise & Supplies-Clothing Stores
07/26/2026,UBER,16.95,"KT2VW0Y8    8005928996
AplPay Uber Trip
help.uber.com
CA
8005928996",AplPay Uber Trip    help.uber.com       CA,"1515 3rd Street
4TH FLOOR","SAN FRANCISCO
CA",94158,UNITED STATES,'320262070014053653',Transportation-Taxis & Coach
07/26/2026,UBER,27.73,"95M5KTS0    8005928996
AplPay Uber Trip
help.uber.com
CA
8005928996",AplPay Uber Trip    help.uber.com       CA,"1515 3rd Street
4TH FLOOR","SAN FRANCISCO
CA",94158,UNITED STATES,'320262070017386106',Transportation-Taxis & Coach
07/26/2026,THE BENCH           PEBBLE BEACH        CA,50.46,"2700362          93953
FOODANDBEVERAGE
THE BENCH
PEBBLE BEACH
CA
FOODANDBEVERAGE
2700362          93953",THE BENCH           PEBBLE BEACH        CA,17 MILE DR,"PEBBLE BEACH
CA",93953,UNITED STATES,'320262100113393939',Restaurant-Restaurant
07/26/2026,TST* THE SALTY SEAL MONTEREY            CA,20.66,"21105176207 RESTAURANT
TST* THE SALTY SEAL 00262152
MONTEREY
CA
RESTAURANT",TST* THE SALTY SEAL MONTEREY            CA,653 CANNERY ROW,"MONTEREY
CA",93940,UNITED STATES,'320262070020782303',Restaurant-Restaurant
07/25/2026,AplPay DSW.COM      http://www.dsw.com/ OH,114.69,"4CE2AV86   8663797463
AplPay DSW.COM
http://www.dsw.com/
OH
8663797463",AplPay DSW.COM      http://www.dsw.com/ OH,810 DSW DR,"COLUMBUS
OH",43219,UNITED STATES,'320262060984796626',Merchandise & Supplies-Internet Purchase
07/25/2026,UBER,3.94,"EWAVBG21    8005928996
AplPay Uber Trip
help.uber.com
CA
8005928996",AplPay Uber Trip    help.uber.com       CA,"1515 3rd Street
4TH FLOOR","SAN FRANCISCO
CA",94158,UNITED STATES,'320262060991193386',Transportation-Taxis & Coach
07/25/2026,TST* OUT OF THE BARRMONTEREY            CA,41.35,"99999996206 8318845777
TST* OUT OF THE BARREL 20 300762449
MONTEREY
CA
Description : BARS Price : 0.4135
8318845777",TST* OUT OF THE BARRMONTEREY            CA,560 MUNRAS AVE,"MONTEREY
CA",93940-3014,UNITED STATES,'320262060985831071',Restaurant-Bar & Café
07/25/2026,TST* ROSINES RESTAURMONTEREY            CA,149.51,"21105176207 RESTAURANT
TST* ROSINES RESTAURANT 00051467
MONTEREY
CA
RESTAURANT",TST* ROSINES RESTAURMONTEREY            CA,434 ALVARADO ST,"MONTEREY
CA",93940-2711,UNITED STATES,'320262070019483954',Restaurant-Restaurant
07/24/2026,AplPay CHIPOTLE 2150MONTEREY            CA,25.84,"013192      303-595-4000
AplPay CHIPOTLE 2150 2150
MONTEREY
CA
Description : FAST FOOD RESTAURAN Price : 0.00
303-595-4000",AplPay CHIPOTLE 2150MONTEREY            CA,560 MUNRAS AVE,"MONTEREY
CA",93940-3014,UNITED STATES,'320262060000049509',Restaurant-Bar & Café
07/24/2026,AplPay NYCT PAYGO   NEW YORK            NY,3.00,"00936561161 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320262060996487347',Transportation-Rail Services
07/24/2026,MS* SCOTTISHFAIRWAYIMONTEREY            CA,422.68,"CH_3TWLDRLP +31851071333
LODGING
MS* SCOTTISHFAIRWAYIN
MONTEREY
CA",MS* SCOTTISHFAIRWAYIMONTEREY            CA,2075 FREMONT BLVD,"MONTEREY
CA",93940,UNITED STATES,'320262050956004050',Travel-Lodging
07/24/2026,TST* MONTEREY COOKHOMONTEREY            CA,60.26,"21105176206 RESTAURANT
TST* MONTEREY COOKHOUSE 00133614
MONTEREY
CA
RESTAURANT",TST* MONTEREY COOKHOMONTEREY            CA,2149 FREMONT ST,"MONTEREY
CA",93940,UNITED STATES,'320262060990490496',Restaurant-Restaurant
07/23/2026,AplPay BROOKLYN FARENEW YORK            NY,10.88,"999999962042122169700
GROCERY STORES
AplPay BROOKLYN FARE #1922 000001922
NEW YORK
NY
GROCERY STORES
2122169700",AplPay BROOKLYN FARENEW YORK            NY,431 WEST 37TH ST,"NEW YORK
NY",10018-4292,UNITED STATES,'320262040929861783',Merchandise & Supplies-Groceries
07/23/2026,AplPay BROOKLYN FARENEW YORK            NY,19.96,"999999962042122169700
GROCERY STORES
AplPay BROOKLYN FARE #1922 000001922
NEW YORK
NY
GROCERY STORES
2122169700",AplPay BROOKLYN FARENEW YORK            NY,431 WEST 37TH ST,"NEW YORK
NY",10018-4292,UNITED STATES,'320262040922940016',Merchandise & Supplies-Groceries
07/23/2026,AplPay NYCT PAYGO   NEW YORK            NY,3.00,"00936303811 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320262050961268087',Transportation-Rail Services
07/23/2026,AplPay NYCT PAYGO   NEW YORK            NY,3.00,"00936270013 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320262050962574596',Transportation-Rail Services
07/23/2026,WARRENPEACE         NEW YORK            NY,69.00,"N4XRDn1gkzv squareup.com/receipts
WARRENPEACE
NEW YORK
NY
squareup.com/receipts",WARRENPEACE         NEW YORK            NY,77 WARREN,"NEW YORK
NY",10007,UNITED STATES,'320262040945424960',Restaurant-Restaurant
07/22/2026,AMEX RESY CREDIT,-27.04,"TST* SB TAVERN LLC 000050
AMEX RESY CREDIT",AMEX RESY CREDIT,,,,,'320262040918956846',Fees & Adjustments-Fees & Adjustments
07/22/2026,AMEX RESY CREDIT,-22.96,"BROOKLYN FARE #1922 00000
AMEX RESY CREDIT",AMEX RESY CREDIT,,,,,'320262040918899491',Fees & Adjustments-Fees & Adjustments
07/22/2026,AplPay BROOKLYN FARENEW YORK            NY,22.96,"99999996203 2122169700
AplPay BROOKLYN FARE #1922 000001922
NEW YORK
NY
Description : GROCERY STORES Price : 0.2296
2122169700",AplPay BROOKLYN FARENEW YORK            NY,431 WEST 37TH ST,"NEW YORK
NY",10018-4292,UNITED STATES,'320262030891354824',Merchandise & Supplies-Groceries
07/22/2026,AplPay CVS PHARMACY NEW YORK            NY,54.43,"10092560   8007467287
PHARMACIES
AplPay CVS PHARMACY
NEW YORK
NY
PHARMACIES
8007467287",AplPay CVS PHARMACY NEW YORK            NY,"500 WEST 42ND ST
FRNT 1","NEW YORK
NY",10036-6211,UNITED STATES,'320262040935542527',Merchandise & Supplies-Pharmacies
07/22/2026,AplPay DOUGHNUTTERY New York            NY,3.49,"fbMB5r2pn0s squareup.com/receipts
AplPay DOUGHNUTTERY HIGHLINE
New York
NY
squareup.com/receipts",AplPay DOUGHNUTTERY New York            NY,HIGHLINE PARK WEST 15TH STREET 350 FIFTH,"NEW YORK
NY",10011,UNITED STATES,'320262030899917144',Merchandise & Supplies-Groceries
07/22/2026,AplPay NYCT PAYGO   NEW YORK            NY,3.00,"00936208291 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320262040930971442',Transportation-Rail Services
07/22/2026,AplPay NYCT PAYGO   NEW YORK            NY,3.00,"00936066608 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320262040932732792',Transportation-Rail Services
07/22/2026,AplPay TARGET STORE NEW YORK            NY,74.85,"0           8004400680
AplPay TARGET STORE T3268 000003268
NEW YORK
NY
Description : REFER TO RECEIPT Price : 0.00
8004400680",AplPay TARGET STORE NEW YORK            NY,615 10TH AVE,"NEW YORK
NY",10036,UNITED STATES,'320262030891037434',Merchandise & Supplies-Wholesale Stores
07/22/2026,AplPay TST* MODERN BNEW YORK            NY,14.52,"21105176204 RESTAURANT
AplPay TST* MODERN BREAD & BAGEL 00076520
NEW YORK
NY
RESTAURANT",AplPay TST* MODERN BNEW YORK            NY,139 WEST 14TH ST,"NEW YORK
NY",10011,UNITED STATES,'320262040931977635',Restaurant-Restaurant
07/22/2026,TST* SB TAVERN LLC 0NEW YORK            NY,252.53,"99999996203 9296145070
TST* SB TAVERN LLC 000050623
NEW YORK
NY
Description : RESTAURANTS Price : 2.5253
9296145070",TST* SB TAVERN LLC 0NEW YORK            NY,496 9TH AVE,"NEW YORK
NY",10018-4131,UNITED STATES,'320262030903374569',Restaurant-Restaurant
07/21/2026,AplPay CURB TAXI APPLONG ISLAND CITY    NY,15.66,"01626987478 718-756-1656
AplPay CURB TAXI APP CURB TAXI APP\1
LONG ISLAND CITY
NY
Description : 00R325390498 Price : 0.00
Description : 17:37 444 8th Ave Price : 0.00
Description : 17:41 472 W 37th S Price : 0.00
718-756-1656",AplPay CURB TAXI APPLONG ISLAND CITY    NY,"VTS VERIFONE WAY 2 RIDE
3703 21ST STREET","LONG ISLAND CITY
NY",11101,UNITED STATES,'320262030908753652',Transportation-Taxis & Coach
07/21/2026,AplPay LIRR ETIX TIC718-217-5477        NY,27.00,"MRLBMKYU32W LIRR ETIX TICKET
AplPay LIRR ETIX TICKET
718-217-5477
NY
LIRR ETIX TICKET",AplPay LIRR ETIX TIC718-217-5477        NY,"146-01 ARCHER AVE
ATTN REVENUE DEPT","JAMAICA
NY",11435,UNITED STATES,'320262030901562572',Transportation-Rail Services
07/21/2026,AplPay ODYSSEY WINE NEW YORK            NY,22.85,"87300013    212-600-4811
AplPay ODYSSEY WINE & SPIRITS
NEW YORK
NY
Description : LIQUOR/BEVERAGES/SN Price : 0.00
212-600-4811",AplPay ODYSSEY WINE NEW YORK            NY,490 10TH AVENUE,"NEW YORK
NY",10018,UNITED STATES OF AMERICA (THE),'320262030908947724',Other-Miscellaneous
07/18/2026,AplPay NESPRESSOUS_PGARDEN CITY         NY,15.00,"10041921372 8005660571 / Cristina
8005660571 / Cristina.Mar
AplPay NESPRESSOUS_POS*ROOSEVELT FIELD BIM
GARDEN CITY
NY
8005660571 / Cristina.Mar",AplPay NESPRESSOUS_PGARDEN CITY         NY,"630 OLD COUNTRY RD BLOOMINGDALES ROOSEVELT FLD
MALL","GARDEN CITY
NY",11530-3467,UNITED STATES,'320261990779084608',Merchandise & Supplies-General Retail
07/16/2026,AplPay 7-ELEVEN 3263HUNTINGTON STATION  NY,20.94,"970110717 7 631-423-7117
AplPay 7-ELEVEN 32637 00073263701
HUNTINGTON STATION
NY
Description : GAS/MSC97  97113701 Price : 0.2094
631-423-7117",AplPay 7-ELEVEN 3263HUNTINGTON STATION  NY,"CITY PLACE CTR EAST
2711 NORTH HASKELL AVE","DALLAS
TX",75204,UNITED STATES,'320261980745915365',Merchandise & Supplies-Groceries
07/15/2026,AplPay 2 BROS 9TH AVNew York            NY,18.49,"j5ahZjGSIIM squareup.com/receipts
AplPay 2 BROS 9TH AVE
New York
NY
squareup.com/receipts",AplPay 2 BROS 9TH AVNew York            NY,542 9TH AVE,"NEW YORK
NY",10018,UNITED STATES,'320261960686378013',Restaurant-Bar & Café
07/12/2026,AplPay SPROUTS FARMEFORT WORTH          TX,22.16,"000049866   4808148016
AplPay SPROUTS FARMERS MARKET
FORT WORTH
TX
4808148016",AplPay SPROUTS FARMEFORT WORTH          TX,4650 SOUTH WEST LOOP 820,"FORT WORTH
TX",76109,UNITED STATES,'320261940638314890',Merchandise & Supplies-Groceries
07/11/2026,AplPay CHICK-FIL-A #FORT WORTH          TX,23.97,"000130420   8177374904
AplPay CHICK-FIL-A #01404 000000000564026
FORT WORTH
TX
8177374904",AplPay CHICK-FIL-A #FORT WORTH          TX,4601 DONNELLY AVE,"FORT WORTH
TX",76107,UNITED STATES,'320261930608870407',Restaurant-Bar & Café
07/11/2026,THE ARCHIBALD       FORT WORTH          TX,20.61,"91539517    817-386-4762
THE ARCHIBALD
FORT WORTH
TX
Description : FOOD/BEVERAGE Price : 0.00
817-386-4762",THE ARCHIBALD       FORT WORTH          TX,902 HOUSTON ST,"FORT WORTH
TX",76102,UNITED STATES,'320261930605547288',Restaurant-Restaurant
07/10/2026,BLUE GOOSE CANTINA -FORT WORTH          TX,19.49,"98800136    214-827-1550
BLUE GOOSE CANTINA - FW
FORT WORTH
TX
Description : FOOD/BEVERAGE Price : 0.00
214-827-1550",BLUE GOOSE CANTINA -FORT WORTH          TX,"1600 SOUTH UNIVERSITY
E609","FORT WORTH
TX",76107,UNITED STATES,'320261920582892445',Restaurant-Restaurant
